Dataset,Execution,Time,Fitness_train,Fitness_test,Number_of_nodes,Number_of_nodes_real,Depth,Expression
cars,22,20.8709162,4.211231291760853,4.931852418099831,35,35,9,"mydiv(+(100.0, mydiv(+(100.0, +(100.0, mydiv(100.0, mydiv(mydiv(1.0, cylinders), mydiv(3.142, horsepower))))), mydiv(mydiv(mydiv(1.0, cylinders), mydiv(3.142, horsepower)), mydiv(3.142, mydiv(mydiv(1.0, cylinders), mydiv(3.142, horsepower)))))), cylinders)"
cars,23,17.126182401,4.469460054827095,5.265295701708499,34,34,10,"-(myprod(mydiv(-1.0, cylinders), -100.0), mydiv(-1.0, myprod(mydiv(-1.0, +(+(+(myprod(-1.0, -100.0), -1.0), cylinders), +(myprod(-(+(cylinders, cylinders), acceleration), cylinders), mysquare(mydiv(acceleration, -1.0))))), -(cylinders, horsepower))))"
cars,24,20.3106308,4.653347514771134,4.845084842132359,30,30,10,"-(acceleration, mydiv(myprod(mysquare(10.0), -3.142), mydiv(myprod(cylinders, displacement), mysqrt(-(myprod(displacement, mydiv(myprod(10.0, cylinders), acceleration)), myprod(-(cylinders, mydiv(myexp(3.142), 10.0)), +(-100.0, displacement)))))))"
cars,25,18.619874999,4.495208658583016,4.261705767544713,27,27,9,"-(-(mysquare(-(-3.142, myexp(mylog(-(3.142, mydiv(1.571, -3.142)))))), mysquare(mydiv(mylog(+(displacement, myprod(3.142, -10.0))), mylog(-(3.142, mydiv(1.571, -10.0)))))), cylinders)"
cars,26,15.767183501,4.384877917954772,5.279572523887552,20,20,9,"mysqrt(mysquare(mydiv(myprod(1.571, 100.0), +(cylinders, mydiv(mydiv(+(horsepower, -10.0), acceleration), mysqrt(+(-(acceleration, 10.0), cylinders)))))))"
cars,27,30.980857801,5.01924780568257,5.241582421250829,52,52,9,"myprod(mylog(myexp(myprod(mylog(myexp(mylog(mysquare(cylinders)))), myexp(mydiv(10.0, cylinders))))), myprod(myprod(mylog(mylog(mysquare(cylinders))), myexp(myprod(mydiv(10.0, -(-100.0, mysquare(acceleration))), myexp(myexp(mydiv(1.0, -100.0)))))), myexp(myprod(myprod(mydiv(10.0, -(-100.0, mysquare(acceleration))), myexp(myexp(mydiv(1.0, cylinders)))), myexp(myexp(mydiv(mysquare(acceleration), -100.0)))))))"
cars,28,7.769791901,5.073465251956916,4.930930466269291,9,9,7,"myexp(mylog(+(3.142, mydiv(myexp(mylog(100.0)), cylinders))))"
cars,29,12.867863301,4.09712875990077,5.071489700575985,26,26,10,"mydiv(mysquare(-(mydiv(+(mysqrt(myprod(mysquare(cylinders), +(mysquare(acceleration), cylinders))), acceleration), horsepower), -10.0)), +(myprod(horsepower, mysquare(mydiv(-10.0, mysquare(mysquare(cylinders))))), cylinders))"
cars,30,19.0847961,5.055838275374162,5.798109680529486,28,28,10,"+(acceleration, mylog(mysquare(+(+(mysqrt(weight), +(myexp(-3.142), -100.0)), +(myprod(-(cylinders, acceleration), myexp(-3.142)), -(myexp(-(mysquare(3.142), cylinders)), myprod(cylinders, -3.142)))))))"
concrete,1,33.267123699,10.192670724616264,10.034777577342842,44,44,10,"mylog(myprod(+(mydiv(myprod(Age (day), -(mysqrt(Coarse Aggregate  (component 6)(kg in a m^3 mixture)), -(Cement (component 1)(kg in a m^3 mixture), 100.0))), Water  (component 4)(kg in a m^3 mixture)), mysquare(myprod(myprod(Age (day), mydiv(myprod(Age (day), Cement (component 1)(kg in a m^3 mixture)), Water  (component 4)(kg in a m^3 mixture))), mydiv(myprod(Age (day), -(mysqrt(Coarse Aggregate  (component 6)(kg in a m^3 mixture)), -(Cement (component 1)(kg in a m^3 mixture), 100.0))), Water  (component 4)(kg in a m^3 mixture))))), myprod(myexp(Superplasticizer (component 5)(kg in a m^3 mixture)), myprod(myprod(Age (day), +(3.142, Blast Furnace Slag (component 2)(kg in a m^3 mixture))), -(Cement (component 1)(kg in a m^3 mixture), 100.0)))))"
concrete,2,20.871393099,10.48676877199152,10.673349483422669,30,30,9,"myprod(mysqrt(mysqrt(myprod(mysqrt(Cement (component 1)(kg in a m^3 mixture)), myprod(mysqrt(-(Fly Ash (component 3)(kg in a m^3 mixture), -(-100.0, Superplasticizer (component 5)(kg in a m^3 mixture)))), mysquare(-(-100.0, Superplasticizer (component 5)(kg in a m^3 mixture))))))), mylog(mylog(mysqrt(myprod(mysqrt(Cement (component 1)(kg in a m^3 mixture)), mydiv(Age (day), mydiv(-(Fine Aggregate (component 7)(kg in a m^3 mixture), Cement (component 1)(kg in a m^3 mixture)), Cement (component 1)(kg in a m^3 mixture))))))))"
concrete,3,32.693772899,14.47696022566334,14.90566462437415,31,31,10,"myexp(myprod(+(mydiv(mydiv(mysqrt(Age (day)), myexp(myexp(myprod(Blast Furnace Slag (component 2)(kg in a m^3 mixture), -1.571)))), myprod(+(mylog(Fine Aggregate (component 7)(kg in a m^3 mixture)), mydiv(-3.142, mysqrt(Superplasticizer (component 5)(kg in a m^3 mixture)))), mysqrt(myexp(myprod(mydiv(Coarse Aggregate  (component 6)(kg in a m^3 mixture), Cement (component 1)(kg in a m^3 mixture)), 1.571))))), 1.571), mylog(mysqrt(100.0))))"
concrete,4,11.9029011,15.750526429609087,16.35885395780479,13,13,10,"mydiv(100.0, mylog(mylog(mysquare(-(mysquare(mysquare(myexp(mydiv(10.0, Age (day))))), Coarse Aggregate  (component 6)(kg in a m^3 mixture))))))"
concrete,5,17.589333001,8.941630224386138,9.029852119589531,18,18,8,"mysqrt(myprod(myprod(Cement (component 1)(kg in a m^3 mixture), mylog(Age (day))), mysqrt(+(mysqrt(+(mysqrt(Superplasticizer (component 5)(kg in a m^3 mixture)), mysqrt(Superplasticizer (component 5)(kg in a m^3 mixture)))), myexp(mydiv(Blast Furnace Slag (component 2)(kg in a m^3 mixture), Water  (component 4)(kg in a m^3 mixture)))))))"
concrete,6,32.7108485,10.81034225328395,10.780734572966558,34,34,10,"+(mylog(mysquare(myexp(myexp(mysquare(mysqrt(mysqrt(mydiv(Cement (component 1)(kg in a m^3 mixture), 100.0)))))))), mylog(mysquare(-(Superplasticizer (component 5)(kg in a m^3 mixture), myprod(-(-(mysquare(Age (day)), 3.142), mysqrt(myprod(3.142, 10.0))), -(+(Age (day), myprod(myprod(1.0, Superplasticizer (component 5)(kg in a m^3 mixture)), Cement (component 1)(kg in a m^3 mixture))), 10.0))))))"
