Dataset,Execution,Time,Fitness_train,Fitness_test,Number_of_nodes,Number_of_nodes_real,Depth,Expression
airfoil,26,42.3231753,4.602307765030014,4.714911205781777,38,38,10,"+(+(+(mydiv(-(67.618, myprod(Frequency(Hz), myprod(mydiv(40.724, mydiv(72.821, Chord length(m))), Chord length(m)))), 39.696), +(mydiv(40.724, 67.618), +(mydiv(-(67.618, myprod(Frequency(Hz), Suction side displacement thickness(m))), 39.696), -(39.696, mysqrt(myprod(Frequency(Hz), Suction side displacement thickness(m))))))), +(5.195, 40.724)), 40.724)"
airfoil,27,54.317415799,7.792045948556103,7.8532870209214405,53,53,10,"myprod(-(+(Angle of attack(degrees), myexp(+(mysqrt(mylog(myprod(mysqrt(Suction side displacement thickness(m)), mydiv(-68.603, -0.286)))), myexp(mydiv(mysqrt(mysquare(Suction side displacement thickness(m))), myprod(Chord length(m), -0.286)))))), mylog(mysquare(mysquare(Suction side displacement thickness(m))))), mylog(+(mylog(myprod(Chord length(m), mysquare(+(mysqrt(+(94.237, Suction side displacement thickness(m))), -(mysqrt(Chord length(m)), mysqrt(Angle of attack(degrees))))))), +(Suction side displacement thickness(m), +(Suction side displacement thickness(m), +(Suction side displacement thickness(m), +(Suction side displacement thickness(m), +(Suction side displacement thickness(m), 23.234))))))))"
airfoil,28,55.7721949,5.356896581707643,5.492124123718257,76,76,10,"-(-(-(myexp(mysqrt(24.926)), +(+(+(Chord length(m), Chord length(m)), mydiv(-(Angle of attack(degrees), 4.882), 4.882)), mydiv(-(mydiv(Free-stream velocity(m/s), -9.608), mylog(mysquare(-(Free-stream velocity(m/s), Frequency(Hz))))), mysqrt(-(mydiv(Frequency(Hz), Free-stream velocity(m/s)), -9.608))))), +(+(+(-0.44, +(-0.44, mysquare(myprod(Chord length(m), Angle of attack(degrees))))), +(myprod(Chord length(m), mysqrt(myprod(mylog(Frequency(Hz)), 24.926))), mydiv(-(Angle of attack(degrees), 4.882), 4.882))), +(+(Chord length(m), +(Chord length(m), mysquare(myprod(Chord length(m), 4.882)))), mydiv(-(-9.608, mysqrt(24.926)), mysqrt(-(mydiv(Frequency(Hz), Free-stream velocity(m/s)), Chord length(m))))))), 24.644)"
airfoil,29,34.9504533,4.914000367156477,5.111292516555441,23,23,8,"-(myexp(-(4.845, myprod(mysquare(Suction side displacement thickness(m)), mysqrt(Frequency(Hz))))), mydiv(mydiv(mysquare(Chord length(m)), mydiv(Chord length(m), -(mysqrt(mysqrt(Frequency(Hz))), mysqrt(myexp(3.49))))), 0.116))"
airfoil,30,50.4164472,4.665831700279891,4.674827829034534,38,38,10,"+(-(-(-(65.364, +(-(myexp(-(mysqrt(Angle of attack(degrees)), mylog(29.322))), myprod(mysquare(0.182), Free-stream velocity(m/s))), mylog(65.364))), myprod(-(-(65.364, Free-stream velocity(m/s)), -(65.364, myprod(Chord length(m), Frequency(Hz)))), Suction side displacement thickness(m))), myprod(-0.037, myprod(Chord length(m), myprod(-0.037, Frequency(Hz))))), 65.364)"
cars,1,29.058559301,4.425352321364349,3.981779757862701,66,66,9,"+(+(-(mydiv(mysquare(-(displacement, myprod(cylinders, mydiv(weight, displacement)))), weight), mydiv(mysquare(displacement), weight)), 30.302), mydiv(myprod(cylinders, -54.716), +(mydiv(+(horsepower, myprod(mydiv(weight, displacement), -(acceleration, 30.302))), mydiv(-(-(mysquare(displacement), weight), weight), mysqrt(+(weight, +(weight, weight))))), myprod(mydiv(-(mysquare(displacement), weight), +(horsepower, myprod(mydiv(weight, horsepower), -(acceleration, 30.302)))), mydiv(horsepower, mydiv(weight, horsepower))))))"
cars,2,47.1369311,4.167067972653728,3.6689481372079804,57,57,10,"mylog(myprod(myexp(mydiv(acceleration, mydiv(mydiv(mydiv(-21.59, mydiv(horsepower, 0.461)), myprod(horsepower, myexp(-21.59))), -(myprod(-(weight, displacement), 63.74), displacement)))), +(myprod(+(63.74, myexp(mydiv(-21.59, mydiv(horsepower, -21.59)))), mysquare(mydiv(mydiv(mydiv(-21.59, mydiv(horsepower, -21.59)), myprod(cylinders, myexp(-21.59))), -(myprod(-(weight, 63.74), displacement), +(myprod(98.65, weight), weight))))), weight)))"
cars,3,15.1398775,4.642672459259692,4.051730011645128,18,18,10,"mydiv(95.414, mysqrt(mylog(mysquare(myprod(-(95.414, myexp(cylinders)), -(mysquare(mylog(-(weight, 76.838))), myexp(cylinders)))))))"
cars,4,11.862666199,6.293597321200095,6.255800711367807,15,15,9,"+(7.599, +(acceleration, mydiv(acceleration, +(mysquare(mysquare(+(7.599, -(-4.288, cylinders)))), 3.375))))"
cars,5,23.554172001,4.836029111669976,6.788227358157993,28,28,10,"-(-(+(-7.052, acceleration), mydiv(-80.16, cylinders)), mysquare(mydiv(mysquare(myexp(mydiv(mydiv(-(cylinders, acceleration), -5.524), mydiv(mysquare(27.233), myprod(+(horsepower, -4.367), mysquare(1.93)))))), -4.367)))"
